"Страна";"Город";"Дата";"Индекс"
Россия;Невинномысск;26.02.2020;1
Россия;Электросталь;27.03.2020;1.7
Россия;Нефтеюганск;03.06.2020;1.7
Россия;Назрань;28.02.2020;0.5
Россия;Мытищи;23.04.2020;3.1
Россия;Кировск;31.08.2020;2.1
Россия;Клин;04.08.2020;0.9
Россия;Канск;18.07.2020;1.9
Россия;Керчь;15.04.2020;3.6
Россия;Апатиты;23.08.2020;3.4
Россия;Дербент;15.08.2020;1.8
Россия;Северск;19.03.2020;1.8
Россия;Дзержинск;26.07.2020;2.4
Россия;Гатчина;12.05.2020;2
Россия;Воронеж;24.06.2020;2.2
Россия;Лобня;25.08.2020;1.7
Россия;Жигулёвск;11.06.2020;1.4
Россия;Кропоткин;14.03.2020;1.7
Россия;Волжск;26.06.2020;1.2
Россия;Ставрополь;07.06.2020;2.6
Россия;Подольск;06.09.2020;2.5
Россия;Ухта;28.04.2020;2.9
Россия;Ростов-на-Дону;21.04.2020;2.5
Россия;Екатеринбург;19.05.2020;1.5
Россия;Тихорецк;15.07.2020;1.3
Россия;Кострома;27.06.2020;2
Россия;Южно-Сахалинск;20.07.2020;0.5
Россия;Коломна;29.07.2020;1.1
Россия;Бугульма;06.06.2020;2.6
Россия;Сибай;23.09.2020;1.6
Россия;Железнодорожный;20.08.2020;1.6
Россия;Ульяновск;08.05.2020;1.8
Россия;Каменск-Шахтинский;21.08.2020;1.6
Россия;Мичуринск;17.03.2020;1.5
Россия;Снежинск;12.03.2020;1.7
Россия;Краснотурьинск;11.06.2020;1.5
Россия;Набережные Челны;04.07.2020;1.9
Россия;Геленджик;25.07.2020;1.5
Россия;Павловский Посад;30.08.2020;2.3
Россия;Комсомольск-на-Амуре;05.09.2020;2.2
Россия;Орехово-Зуево;19.06.2020;1.5
Россия;Дмитров;09.08.2020;1.7
Россия;Усть-Илимск;05.05.2020;3.1
Россия;Красноярск;21.06.2020;2.9
Россия;Наро-Фоминск;01.03.2020;2.4
Россия;Стерлитамак;30.04.2020;2.4
Россия;Вязьма;25.08.2020;1.5
Россия;Волгодонск;14.08.2020;1.5
Россия;Орёл;28.04.2020;2.3
Россия;Люберцы;15.04.2020;3.7
Россия;Бузулук;16.09.2020;1.3
Россия;Хасавюрт;26.06.2020;1.6
Россия;Ейск;27.08.2020;1.5
Россия;Видное;18.04.2020;3.5
Россия;Черкесск;05.07.2020;2.4
Россия;Будённовск;12.04.2020;3.6
Россия;Михайловск;06.03.2020;1.6
Россия;Челябинск;21.09.2020;0.9
Россия;Избербаш;26.06.2020;1.9
Россия;Балашиха;27.06.2020;1.9
Россия;Курск;04.05.2020;2.9
Россия;Кстово;28.07.2020;0.8
Россия;Новоуральск;20.08.2020;2.2
Россия;Щелково;29.04.2020;2.9
Россия;Череповец;25.08.2020;1.1
Россия;Курган;10.04.2020;2.3
Россия;Казань;08.03.2020;2.3
Россия;Димитровград;10.03.2020;1.1
Россия;Хабаровск;15.05.2020;1.2
Россия;Колпино;14.04.2020;2.9
Россия;Ярославль;25.07.2020;1.8
Россия;Энгельс;06.08.2020;1.4
Россия;Междуреченск;11.05.2020;2.5
Россия;Ишимбай;07.07.2020;1.6
Россия;Саров;29.07.2020;2.1
Россия;Борисоглебск;10.05.2020;3.3
Россия;Арзамас;19.06.2020;1.2
Россия;Петрозаводск;05.09.2020;2.4
Россия;Краснодар;25.02.2020;0.6
Россия;Московский;01.05.2020;3.7
Россия;Владивосток;04.05.2020;2.7
Россия;Когалым;10.09.2020;1.3
Россия;Верхняя Пышма;04.09.2020;1.1
Россия;Уфа;21.05.2020;1.5
Россия;Кемерово;24.09.2020;0.8
Россия;Сыктывкар;22.06.2020;1.3
Россия;Иваново;19.08.2020;0.7
Россия;Новочеркасск;26.08.2020;1.6
Россия;Новороссийск;24.06.2020;2.1
Россия;Ленинск-Кузнецкий;07.07.2020;1.3
Россия;Шали;10.07.2020;2
Россия;Нижний Тагил;11.06.2020;1.4
Россия;Искитим;11.03.2020;1.3
Россия;Грозный;25.05.2020;4.1
Россия;Калининград;12.09.2020;1.7
Россия;Армавир;16.04.2020;2.5
Россия;Нягань;31.08.2020;1.7
Россия;Домодедово;09.07.2020;1.2
Россия;Самара;14.03.2020;2.1
Россия;Находка;08.08.2020;2
Россия;Архангельск;31.05.2020;3
Россия;Тобольск;19.06.2020;1.6
Россия;Чебоксары;21.03.2020;2.2
Россия;Новосибирск;05.04.2020;3.8
Россия;Березники;06.04.2020;3.3
Россия;Майкоп;03.07.2020;1.2
Россия;Троицк;08.05.2020;2.3
Россия;Благовещенск;13.08.2020;0.7
Россия;Ивантеевка;21.06.2020;2.8
Россия;Альметьевск;30.03.2020;3.1
Россия;Старый Оскол;15.05.2020;1.8
Россия;Чапаевск;31.08.2020;1.9
Россия;Ржев;23.08.2020;2.6
Россия;Михайловка;07.06.2020;2.7
Россия;Выкса;22.04.2020;2.5
Россия;Дубна;15.03.2020;3.1
Россия;Лениногорск;19.08.2020;1.9
Россия;Пермь;23.05.2020;2.4
Россия;Алексин;01.08.2020;2.1
Россия;Нальчик;23.07.2020;1.3
Россия;Губкин;22.03.2020;3.3
Россия;Новокуйбышевск;15.06.2020;1.4
Россия;Новошахтинск;13.07.2020;1.8
Россия;Анапа;24.09.2020;0.9
Россия;Абакан;21.04.2020;1.7
Россия;Пенза;10.03.2020;0.4
Россия;Ессентуки;07.07.2020;1.2
Россия;Тюмень;26.08.2020;1
Россия;Артём;13.05.2020;1.5
Россия;Азов;22.04.2020;2.5
Россия;Орск;28.08.2020;1.6
Россия;Хасавюрт;18.07.2020;0.9
Россия;Будённовск;21.03.2020;2.3
Россия;Черкесск;29.06.2020;1.4
Россия;Видное;10.05.2020;3.3
Россия;Ейск;22.09.2020;1.2
Россия;Копейск;14.09.2020;1.6
Россия;Волгодонск;23.07.2020;1.5
Россия;Вязьма;16.09.2020;1.3
Россия;Лесосибирск;30.07.2020;1.9
Россия;Воскресенск;20.07.2020;1.4
Россия;Камышин;11.04.2020;3.2
Россия;Сарапул;11.03.2020;0.9
Россия;Орёл;08.05.2020;2.2
Россия;Избербаш;18.07.2020;1.8
Россия;Челябинск;26.08.2020;0.8
Россия;Иркутск;11.09.2020;0.9
Россия;Пушкин;14.03.2020;2
Россия;Зеленогорск;11.06.2020;2
Россия;Михайловск;25.02.2020;1.9
Россия;Кстово;19.08.2020;0.9
Россия;Курск;24.04.2020;2.5
Россия;Балашиха;07.07.2020;1.5
Россия;Геленджик;20.08.2020;1.2
Россия;Набережные Челны;10.07.2020;0.9
Россия;Павловский Посад;09.09.2020;1.5
Россия;Краснотурьинск;20.05.2020;2
Россия;Мичуринск;08.04.2020;2.8
Россия;Каменск-Шахтинский;26.07.2020;2.7
Россия;Ульяновск;28.04.2020;2.3
Россия;Красноярск;13.07.2020;1.1
Россия;Дзержинский;24.05.2020;3.1
Россия;Сызрань;24.07.2020;1.3
Россия;Орехово-Зуево;15.07.2020;1.5
Россия;Балашов;25.02.2020;1.3
Россия;Усть-Илимск;25.04.2020;2.8
Россия;Красногорск;22.05.2020;2.7
Россия;Ухта;08.05.2020;2.7
Россия;Елабуга;20.04.2020;2.9
Россия;Краснокамск;21.05.2020;1.9
Россия;Волжск;18.07.2020;1.9
Россия;Подольск;12.09.2020;2.1
Россия;Ставрополь;01.06.2020;1.4
Россия;Барнаул;23.08.2020;2.5
Россия;Кузнецк;09.05.2020;2.9
Россия;Бугульма;27.05.2020;1.6
Россия;Прокопьевск;10.08.2020;1.6
Россия;Южно-Сахалинск;24.06.2020;1.8
Россия;Екатеринбург;14.06.2020;2.5
Россия;Ростов-на-Дону;17.05.2020;3.1
Россия;Клинцы;02.03.2020;1.4
Россия;Сальск;26.09.2020;2.1
Россия;Кострома;07.07.2020;0.8
Россия;Тихорецк;19.06.2020;1.4
Россия;Чита;15.05.2020;1.6
Россия;Йошкар-Ола;27.07.2020;0.9
Россия;Невинномысск;03.03.2020;1
Россия;Электросталь;06.04.2020;3.3
Россия;Железногорск;25.08.2020;1.7
Россия;Гуково;10.04.2020;3
Россия;Симферополь;03.09.2020;0.8
Россия;Фрязино;10.06.2020;1.3
Россия;Рубцовск;11.06.2020;1.7
Россия;Жигулёвск;20.05.2020;2.1
Россия;Лобня;16.09.2020;1.7
Россия;Дзержинск;21.08.2020;1.1
Россия;Клин;10.08.2020;1
Россия;Керчь;20.03.2020;1.9
Россия;Мытищи;15.05.2020;2.4
Россия;Белебей;07.03.2020;2.5
Россия;Бор;14.07.2020;1.1
Россия;Канск;26.06.2020;1.1
Россия;Мелеуз;18.05.2020;2.1
Россия;Елабуга;27.09.2020;2.5
Россия;Ростов-на-Дону;04.09.2020;0.8
Россия;Клинцы;20.06.2020;2.4
Россия;Краснокамск;25.08.2020;1.6
Россия;Сальск;04.06.2020;1.7
Россия;Красногорск;26.08.2020;1.4
Россия;Тихорецк;01.03.2020;2.7
Россия;Южно-Сахалинск;06.03.2020;0.4
Россия;Барнаул;19.05.2020;1.2
Россия;Сибай;26.05.2020;2
Россия;Волжск;27.02.2020;1.2
Россия;Прокопьевск;03.03.2020;1.3
Россия;Подольск;23.04.2020;3.2
Россия;Ухта;26.08.2020;1.5
Россия;Мытищи;06.09.2020;2.1
Россия;Клин;21.03.2020;2.2
Россия;Керчь;13.08.2020;2.1
Россия;Канск;04.03.2020;1
Россия;Лобня;27.04.2020;3.4
Россия;Дзержинск;28.03.2020;2.7
Россия;Фрязино;14.09.2020;1.1
Россия;Симферополь;30.05.2020;2.7
Россия;Кропоткин;12.07.2020;2.4
Россия;Гуково;29.07.2020;2.1
Россия;Железногорск;03.05.2020;3.15
Россия;Ачинск;16.06.2020;1.4
Россия;Чита;06.09.2020;2.6
Россия;Йошкар-Ола;04.04.2020;3.7
Россия;Невинномысск;25.06.2020;1.3
Россия;Электросталь;25.07.2020;2.1
Россия;Бор;09.04.2020;2.5
Россия;Белебей;14.08.2020;1.8
Россия;Пушкин;02.07.2020;1
Россия;Избербаш;27.02.2020;1.8
Россия;Челябинск;08.05.2020;1.5
Россия;Копейск;10.06.2020;1.6
Россия;Михайловск;20.07.2020;2.2
Россия;Крымск;13.06.2020;2.2
Россия;Кстово;30.03.2020;2.6
Россия;Курск;17.09.2020;0.9
Россия;Воскресенск;15.04.2020;3.3
Россия;Камышин;16.07.2020;1.7
Россия;Сарапул;18.08.2020;1.3
Россия;Севастополь;05.05.2020;3.2
Россия;Волгодонск;31.03.2020;3.5
Россия;Вязьма;27.04.2020;2.6
Россия;Орёл;26.08.2020;1.2
Россия;Хасавюрт;27.02.2020;0.8
Россия;Будённовск;10.08.2020;1.6
Россия;Черкесск;07.03.2020;1.5
Россия;Иркутск;07.06.2020;2.6
Россия;Видное;01.09.2020;0.8
Россия;Ейск;29.04.2020;2.7
Россия;Зеленогорск;15.09.2020;1.7
Россия;Усть-Илимск;18.09.2020;1.5
Россия;Наро-Фоминск;15.07.2020;1
Россия;Арсеньев;13.06.2020;2.2
Россия;Томск;22.05.2020;1.3
Россия;Краснокаменск;25.05.2020;2.4
Россия;Снежинск;10.07.2020;2
Россия;Мичуринск;31.07.2020;1.7
Россия;Дзержинский;28.08.2020;0.8
Россия;Нижневартовск;24.05.2020;2.4
Россия;Ульяновск;21.09.2020;1.1
Россия;Каменск-Шахтинский;07.04.2020;2.9
Россия;Шуя;17.05.2020;2.9
Россия;Геленджик;27.03.2020;1.6
Россия;Балашов;03.08.2020;1.7
Россия;Биробиджан;14.06.2020;3
Россия;Павловский Посад;16.04.2020;3.4
Россия;Ивантеевка;28.02.2020;1.5
Россия;Архангельск;04.09.2020;0.9
Россия;Ступино;25.07.2020;1.5
Россия;Находка;01.03.2020;2.9
Россия;Чапаевск;13.05.2020;2.3
Россия;Армавир;23.09.2020;0.9
Россия;Старый Оскол;06.09.2020;2.6
Россия;Березники;25.07.2020;2.2
Россия;Чебоксары;10.08.2020;0.9
Россия;Майкоп;11.03.2020;0.5
Россия;Троицк;26.08.2020;1.35
Россия;Благовещенск;20.03.2020;0.5
Россия;Тобольск;01.03.2020;2.8
Россия;Новосибирск;10.07.2020;1
Россия;Нягань;13.05.2020;2
Россия;Самара;02.07.2020;0.7
Россия;Альметьевск;04.07.2020;2
Россия;Азов;11.09.2020;1.2
Россия;Артём;31.08.2020;1.1
Россия;Лениногорск;12.03.2020;1.5
Россия;Орск;06.05.2020;2.2
Россия;Пенза;28.06.2020;2.4
Россия;Сочи;10.07.2020;1
Россия;Алексин;23.02.2020;2.9
Россия;Тюмень;08.05.2020;1.9
Россия;Губкин;11.08.2020;1.9
Россия;Абакан;14.09.2020;0.4
Россия;Анапа;06.06.2020;1.7
Россия;Ржев;05.05.2020;2.8
Россия;Дубна;08.08.2020;1.8
Россия;Михайловка;29.09.2020;1.1
Россия;Выкса;11.09.2020;1.2
Россия;Саров;10.04.2020;3.7
Россия;Борисоглебск;01.09.2020;1.5
Россия;Ярославль;06.04.2020;2.8
Россия;Междуреченск;02.09.2020;1.6
Россия;Колпино;19.07.2020;2.6
Россия;Хабаровск;06.09.2020;2.4
Россия;Ишимбай;02.04.2020;3.8
Россия;Димитровград;28.06.2020;2.5
Россия;Энгельс;28.02.2020;1.1
Россия;Салават;21.07.2020;1.7
Россия;Королёв;17.05.2020;3.6
Россия;Курган;29.07.2020;1.1
Россия;Череповец;03.05.2020;3.1
Россия;Арзамас;15.03.2020;2.8
Россия;Казань;30.06.2020;0.6
Россия;Новочеркасск;08.05.2020;2.4
Россия;Иваново;12.03.2020;0.4
Россия;Новороссийск;06.03.2020;0.6
Россия;Черногорск;01.06.2020;2.3
Россия;Когалым;06.06.2020;2.4
Россия;Омск;15.07.2020;1.2
Россия;Уфа;25.08.2020;0.9
Россия;Москва;13.06.2020;2.2
Россия;Верхняя Пышма;17.05.2020;2.9
Россия;Кемерово;06.06.2020;1.8
Россия;Сыктывкар;29.02.2020;2.3
Россия;Саратов;28.04.2020;2.9
Россия;Петрозаводск;14.05.2020;2.2
Россия;Калининград;08.06.2020;1.4
Россия;Владикавказ;16.05.2020;2.7
Россия;Краснодар;20.07.2020;0.9
Россия;Московский;20.09.2020;2.7
Россия;Искитим;18.08.2020;1.4
Россия;Грозный;29.08.2020;1.3
Россия;Красноярск;28.02.2020;0.7
Россия;Наро-Фоминск;19.06.2020;1.1
Россия;Краснокаменск;16.06.2020;2.3
Россия;Томск;17.06.2020;1
Россия;Арсеньев;18.05.2020;1.9
Россия;Орехово-Зуево;01.03.2020;2.5
Россия;Комсомольск-на-Амуре;01.06.2020;1.6
Россия;Усть-Илимск;23.08.2020;2.7
Россия;Геленджик;06.04.2020;3.6
Россия;Набережные Челны;12.03.2020;0.8
Россия;Павловский Посад;12.05.2020;2.6
Россия;Биробиджан;19.05.2020;1.4
Россия;Дмитров;02.03.2020;1
Россия;Каменск-Шахтинский;28.03.2020;2.7
Россия;Ульяновск;26.08.2020;1.1
Россия;Нижневартовск;15.06.2020;1.4
Россия;Мичуринск;06.08.2020;1.7
Россия;Снежинск;04.07.2020;2.8
Россия;Воркута;28.04.2020;3
Россия;Крымск;18.05.2020;2.4
Россия;Михайловск;24.06.2020;2.7
Россия;Челябинск;28.04.2020;1.8
Россия;Избербаш;04.03.2020;1.7
Россия;Пушкин;12.07.2020;2.1
Россия;Бузулук;12.06.2020;2.4
Россия;Балашиха;09.03.2020;2.8
Россия;Курск;22.08.2020;2
Россия;Люберцы;20.07.2020;1.3
Россия;Кстово;05.04.2020;3.5
Россия;Хасавюрт;04.03.2020;0.7
Россия;Ейск;09.05.2020;3.4
Россия;Видное;07.09.2020;0.8
Россия;Будённовск;04.08.2020;1.4
Россия;Вязьма;03.05.2020;3.1
Россия;Новоуральск;13.03.2020;1.5
Россия;Волгодонск;25.03.2020;1.6
Россия;Орёл;21.09.2020;1
Россия;Дзержинск;07.04.2020;2.9
Россия;Лобня;03.05.2020;3.6
Россия;Кропоткин;02.07.2020;1.2
Россия;Берёзовский;07.08.2020;0.8
Россия;Донской;22.03.2020;3.1
Россия;Клин;12.04.2020;3.4
Россия;Керчь;03.08.2020;2.2
Россия;Мытищи;12.09.2020;1.6
Россия;Канск;27.02.2020;1.1
Россия;Белореченск;28.04.2020;2.2
Россия;Йошкар-Ола;29.03.2020;3.3
Россия;Апатиты;19.05.2020;2.8
Россия;Чита;12.09.2020;2.1
Россия;Дербент;08.03.2020;2.2
Россия;Назрань;06.08.2020;0.8
Россия;Нефтеюганск;07.09.2020;1.3
Россия;Невинномысск;17.07.2020;1.5
Россия;Кировск;27.05.2020;2.7
Россия;Железногорск;27.04.2020;2.5
Россия;Электросталь;20.08.2020;1.4
Россия;Гуково;08.08.2020;2.6
Россия;Ачинск;25.05.2020;1.7
Россия;Северск;23.06.2020;1.7
Россия;Воронеж;20.03.2020;1.1
Россия;Южно-Сахалинск;25.02.2020;0.4
Россия;Бугульма;24.09.2020;1.4
Россия;Сибай;05.06.2020;1.8
Россия;Клинцы;16.07.2020;1.7
Россия;Ростов-на-Дону;14.09.2020;0.9
Россия;Мелеуз;13.06.2020;2.4
Россия;Кострома;09.03.2020;2.8
Россия;Сальск;29.05.2020;1.8
Россия;Ухта;21.09.2020;1.5
Россия;Волжск;04.03.2020;1.2
Россия;Железнодорожный;13.03.2020;1.6
Россия;Ставрополь;29.09.2020;0.8
Россия;Подольск;15.05.2020;2.6
Россия;Черногорск;07.06.2020;3.2
Россия;Новороссийск;25.02.2020;0.8
Россия;Новочеркасск;28.04.2020;2.4
Россия;Шали;12.03.2020;1.5
Россия;Омск;19.06.2020;1.3
Россия;Ленинск-Кузнецкий;09.03.2020;3
Россия;Обнинск;16.06.2020;0.9
Россия;Ангарск;29.03.2020;3.4
Россия;Краснодар;24.06.2020;1.8
Россия;Московский;29.08.2020;2.1
Россия;Петрозаводск;22.04.2020;2.8
Россия;Москва;18.05.2020;2.3
Россия;Верхняя Пышма;21.04.2020;2.3
Россия;Сыктывкар;23.02.2020;2.9
Россия;Кемерово;27.05.2020;1
Россия;Батайск;01.04.2020;3.6
Россия;Междуреченск;08.09.2020;1.7
Россия;Ярославль;27.03.2020;1.1
Россия;Узловая;02.05.2020;3.2
Россия;Магадан;23.09.2020;0.7
Россия;Саров;15.03.2020;3.8
Россия;Борисоглебск;07.09.2020;1.6
Россия;Саранск;27.08.2020;0.9
Россия;Череповец;27.04.2020;2.4
Россия;Курган;08.08.2020;2
Россия;Казань;06.07.2020;0.6
Россия;Россошь;31.05.2020;2.9
Россия;Ногинск;21.06.2020;2
Россия;Североморск;02.07.2020;2
Россия;Димитровград;08.07.2020;1.3
Россия;Хабаровск;12.09.2020;1.6
Россия;Лабинск;27.09.2020;2.4
Россия;Ессентуки;09.03.2020;2.2
Россия;Новокузнецк;19.06.2020;1.2
Россия;Вологда;02.09.2020;0.7
Россия;Сочи;04.07.2020;1.4
Россия;Пенза;08.07.2020;0.9
Россия;Тюмень;28.04.2020;2.3
Россия;Артём;10.09.2020;0.9
Россия;Азов;05.09.2020;2
Россия;Орск;30.04.2020;2.3
Россия;Ржев;25.04.2020;3
Россия;Новоалтайск;25.02.2020;1.5
Россия;Выкса;05.09.2020;1.9
Россия;Дубна;29.07.2020;1.1
Россия;Губкин;05.08.2020;2
Россия;Анапа;27.05.2020;1.4
Россия;Абакан;04.09.2020;0.5
Россия;Новошахтинск;28.02.2020;1.4
Россия;Чебоксары;04.08.2020;0.8
Россия;Березники;20.08.2020;1.8
Россия;Благовещенск;15.04.2020;1.3
Россия;Троицк;21.09.2020;1.2
Россия;Старый Оскол;12.09.2020;2
Россия;Павлово;14.08.2020;1.5
Россия;Чапаевск;17.04.2020;2.8
Россия;Домодедово;11.03.2020;1
Россия;Нягань;17.04.2020;2.7
Россия;Самара;12.07.2020;2.2
Россия;Рыбинск;27.07.2020;1.4
Россия;Пушкино;12.05.2020;2.3
Россия;Гусь-Хрустальный;24.03.2020;1.5
Россия;Бийск;13.05.2020;1.6
Россия;Ревда;30.07.2020;1.8
Россия;Сертолово;22.05.2020;2.3
Россия;Сосновый Бор;27.04.2020;2.3
Россия;Феодосия;26.05.2020;2.1
Россия;Долгопрудный;23.08.2020;2.3
Россия;Чайковский;22.03.2020;3.1
Россия;Егорьевск;18.05.2020;2.4
Россия;Павлово;19.04.2020;3.5
Россия;Рыбинск;15.05.2020;2.1
Россия;Великие Луки;15.07.2020;1.4
Россия;Ялта;31.07.2020;1.9
Россия;Одинцово;15.06.2020;1.5
Россия;Пушкино;22.07.2020;1
Россия;Новый Уренгой;21.03.2020;2.5
Россия;Пятигорск;27.07.2020;0.5
Россия;Вологда;31.03.2020;3.4
Россия;Каспийск;14.09.2020;1.9
Россия;Октябрьский;25.02.2020;1.3
Россия;Новокузнецк;14.06.2020;2.3
Россия;Елец;10.05.2020;3.5
Россия;Вольск;22.04.2020;3.1
Россия;Тихвин;28.02.2020;1.1
Россия;Асбест;02.05.2020;3.3
Россия;Боровичи;10.04.2020;2.7
Россия;Шадринск;19.07.2020;2.8
Россия;Мурино;08.07.2020;1.6
Россия;Магнитогорск;28.08.2020;1.4
Россия;Анжеро-Судженск;24.03.2020;2
Россия;Северодвинск;30.04.2020;2.9
Россия;Оренбург;23.03.2020;1.1
Россия;Лиски;23.03.2020;2
Россия;Лыткарино;13.03.2020;1.7
Россия;Ханты-Мансийск;20.08.2020;1
Россия;Кинешма;26.02.2020;1.5
Россия;Киров;28.06.2020;2.5
Россия;Серов;18.09.2020;1.6
Россия;Узловая;01.08.2020;2.4
Россия;Магадан;10.03.2020;0.6
Россия;Новомосковск;30.03.2020;3
Россия;Прохладный;28.05.2020;1.9
Россия;Рязань;21.06.2020;2.5
Россия;Кунгур;30.09.2020;1
Россия;Братск;16.03.2020;1.3
Россия;Саранск;14.04.2020;2.6
Россия;Лысьва;29.02.2020;2.7
Россия;Щекино;11.06.2020;1.7
Россия;Россошь;11.07.2020;2.3
Россия;Ногинск;12.06.2020;1.8
Россия;Североморск;09.06.2020;2.4
Россия;Кисловодск;19.06.2020;1.7
Россия;Минусинск;03.05.2020;2.8
Россия;Якутск;07.04.2020;2.6
Россия;Ижевск;10.09.2020;0.6
Россия;Славянск-на-Кубани;12.08.2020;1.1
Россия;Ишим;10.07.2020;1.2
Россия;Лабинск;14.03.2020;2
Россия;Астрахань;07.09.2020;1.2
Россия;Липецк;01.06.2020;1.5
Россия;Заречный;21.03.2020;3.1
Россия;Кирово-Чепецк;21.09.2020;1.7
Россия;Киселёвск;03.09.2020;1.6
Россия;Георгиевск;23.03.2020;1.2
Россия;Ноябрьск;01.04.2020;3.4
Россия;Обнинск;25.06.2020;0.8
Россия;Ангарск;12.09.2020;2.7
Россия;Реутов;05.07.2020;1.5
Россия;Норильск;27.05.2020;2.1
Россия;Черемхово;06.05.2020;2.4
Россия;Белорецк;18.09.2020;1.2
Россия;Гудермес;15.08.2020;1.7
Россия;Батайск;01.09.2020;1.5
Россия;Серпухов;28.04.2020;2.9
Россия;Брянск;01.08.2020;2.4
Россия;Балаково;07.09.2020;1.5
Россия;Тамбов;02.08.2020;2.5
Россия;Новочебоксарск;25.04.2020;3.5
Россия;Бердск;19.07.2020;1.9
Россия;Тольятти;23.03.2020;1.7
Россия;Нижнекамск;26.09.2020;2
Россия;Улан-Удэ;14.06.2020;2.5
Россия;Железнодорожный;28.09.2020;1.7
Россия;Нерюнгри;12.06.2020;2.7
Россия;Новотроицк;28.09.2020;1.9
Россия;Златоуст;25.04.2020;3.2
Россия;Владимир;28.06.2020;2.3
Россия;Ковров;12.04.2020;3.9
Россия;Берёзовский;26.04.2020;3
Россия;Чехов;21.08.2020;1.1
Россия;Донской;19.09.2020;2.6
Россия;Усолье-Сибирское;13.07.2020;1.6
Россия;Белово;11.08.2020;1.2
Россия;Тула;22.06.2020;0.9
Россия;Зеленоград;29.08.2020;2.1
Россия;Белореченск;13.08.2020;1.2
Россия;Махачкала;16.08.2020;1.9
Россия;Апатиты;15.07.2020;1.9
Россия;Буйнакск;21.05.2020;3.2
Россия;Дербент;25.09.2020;1.5
Россия;Жуковский;14.04.2020;3.2
Россия;Нефтеюганск;26.03.2020;1.5
Россия;Тимашевск;17.05.2020;2.8
Россия;Назрань;27.04.2020;2.7
Россия;Миасс;17.09.2020;1.2
Россия;Кировск;07.07.2020;2.2
Россия;Горно-Алтайск;30.04.2020;1.4
Россия;Северск;18.06.2020;1.9
Россия;Шахты;03.08.2020;1.8
Россия;Туапсе;02.08.2020;2.4
Россия;Воронеж;21.09.2020;0.9
Россия;Калуга;07.08.2020;1
Россия;Белогорск;22.07.2020;1.4
Россия;Кириши;18.03.2020;1.5
Россия;Воркута;13.08.2020;2.2
Россия;Химки;10.08.2020;1.1
Россия;Минеральные Воды;06.06.2020;1.7
Россия;Люберцы;22.05.2020;2.5
Россия;Бузулук;21.06.2020;2.6
Россия;Всеволожск;17.06.2020;1.5
